icon_name	target_size	category	source	source_dimensions	decoder
bottom	32	actions	pics/toolbar/bottom.xpm	22x22	pillow
bottom	48	actions	pics/toolbar/bottom.xpm	22x22	pillow
bottom-left	16	actions	kwm/images/bottom_left.xpm	87x96	xpm-fallback
bottom-left	22	actions	kwm/images/bottom_left.xpm	87x96	xpm-fallback
bottom-left	24	actions	kwm/images/bottom_left.xpm	87x96	xpm-fallback
bottom-left	32	actions	kwm/images/bottom_left.xpm	87x96	xpm-fallback
bottom-left	48	actions	kwm/images/bottom_left.xpm	87x96	xpm-fallback
bottom-right	16	actions	kwm/images/bottom_right.xpm	80x94	xpm-fallback
bottom-right	22	actions	kwm/images/bottom_right.xpm	80x94	xpm-fallback
bottom-right	24	actions	kwm/images/bottom_right.xpm	80x94	xpm-fallback
bottom-right	32	actions	kwm/images/bottom_right.xpm	80x94	xpm-fallback
bottom-right	48	actions	kwm/images/bottom_right.xpm	80x94	xpm-fallback
bug1	16	apps	kmenuedit/icons/mini-bug1.xpm	16x14	xpm-fallback
bug1	22	apps	kmenuedit/icons/mini-bug1.xpm	16x14	xpm-fallback
bug1	24	apps	kmenuedit/icons/mini-bug1.xpm	16x14	xpm-fallback
bug1	32	apps	kmenuedit/icons/mini-bug1.xpm	16x14	xpm-fallback
bug1	48	apps	kmenuedit/icons/mini-bug1.xpm	16x14	xpm-fallback
bug2	16	apps	kmenuedit/icons/mini-bug2.xpm	16x14	xpm-fallback
bug2	22	apps	kmenuedit/icons/mini-bug2.xpm	16x14	xpm-fallback
bug2	24	apps	kmenuedit/icons/mini-bug2.xpm	16x14	xpm-fallback
bug2	32	apps	kmenuedit/icons/mini-bug2.xpm	16x14	xpm-fallback
bug2	48	apps	kmenuedit/icons/mini-bug2.xpm	16x14	xpm-fallback
buttons	16	apps	kcontrol/kwm/mini-buttons.xpm	16x14	xpm-fallback
buttons	22	apps	kcontrol/kwm/mini-buttons.xpm	16x14	xpm-fallback
buttons	24	apps	kcontrol/kwm/mini-buttons.xpm	16x14	xpm-fallback
buttons	32	apps	kcontrol/kwm/mini-buttons.xpm	16x14	xpm-fallback
buttons	48	apps	kcontrol/kwm/mini-buttons.xpm	16x14	xpm-fallback
bx2	16	apps	pics/mini/mini-bx2.xpm	16x16	xpm-fallback
bx2	22	apps	pics/mini/mini-bx2.xpm	16x16	xpm-fallback
bx2	24	apps	pics/mini/mini-bx2.xpm	16x16	xpm-fallback
bx2	32	apps	pics/mini/mini-bx2.xpm	16x16	xpm-fallback
bx2	48	apps	pics/mini/mini-bx2.xpm	16x16	xpm-fallback
c-src	16	apps	pics/mini/c_src.xpm	16x16	pillow
c-src	22	apps	pics/mini/c_src.xpm	16x16	pillow
c-src	24	apps	pics/c_src.xpm	32x32	pillow
c-src	32	apps	pics/c_src.xpm	32x32	pillow
c-src	48	apps	pics/c_src.xpm	32x32	pillow
calc	16	apps	kmenuedit/icons/mini-calc.xpm	16x14	xpm-fallback
calc	22	apps	kmenuedit/icons/mini-calc.xpm	16x14	xpm-fallback
calc	24	apps	kmenuedit/icons/mini-calc.xpm	16x14	xpm-fallback
calc	32	apps	kmenuedit/icons/mini-calc.xpm	16x14	xpm-fallback
calc	48	apps	kmenuedit/icons/mini-calc.xpm	16x14	xpm-fallback
camera	16	apps	kmenuedit/icons/mini-camera.xpm	16x14	xpm-fallback
camera	22	apps	kmenuedit/icons/mini-camera.xpm	16x14	xpm-fallback
camera	24	apps	kmenuedit/icons/mini-camera.xpm	16x14	xpm-fallback
camera	32	apps	kmenuedit/icons/mini-camera.xpm	16x14	xpm-fallback
camera	48	apps	kmenuedit/icons/mini-camera.xpm	16x14	xpm-fallback
cdlabel	16	apps	kmenuedit/icons/mini-cdlabel.xpm	16x14	xpm-fallback
cdlabel	22	apps	kmenuedit/icons/mini-cdlabel.xpm	16x14	xpm-fallback
cdlabel	24	apps	kmenuedit/icons/mini-cdlabel.xpm	16x14	xpm-fallback
cdlabel	32	apps	kmenuedit/icons/mini-cdlabel.xpm	16x14	xpm-fallback
cdlabel	48	apps	kmenuedit/icons/mini-cdlabel.xpm	16x14	xpm-fallback
cdrom-mount	16	places	pics/mini/cdrom_mount.xpm	16x16	pillow
cdrom-mount	22	places	pics/mini/cdrom_mount.xpm	16x16	pillow
cdrom-mount	24	places	pics/cdrom_mount.xpm	32x32	pillow
cdrom-mount	32	places	pics/cdrom_mount.xpm	32x32	pillow
cdrom-mount	48	places	pics/cdrom_mount.xpm	32x32	pillow
cdrom-unmount	16	places	pics/mini/cdrom_unmount.xpm	16x16	pillow
cdrom-unmount	22	places	pics/mini/cdrom_unmount.xpm	16x16	pillow
cdrom-unmount	24	places	pics/cdrom_unmount.xpm	32x32	pillow
cdrom-unmount	32	places	pics/cdrom_unmount.xpm	32x32	pillow
cdrom-unmount	48	places	pics/cdrom_unmount.xpm	32x32	pillow
chardevice	16	apps	pics/mini/chardevice.xpm	16x16	pillow
chardevice	22	apps	pics/mini/chardevice.xpm	16x16	pillow
chardevice	24	apps	pics/chardevice.xpm	32x32	pillow
chardevice	32	apps	pics/chardevice.xpm	32x32	pillow
chardevice	48	apps	pics/chardevice.xpm	32x32	pillow
clock	16	apps	kmenuedit/icons/mini-clock.xpm	16x14	xpm-fallback
clock	22	apps	kmenuedit/icons/mini-clock.xpm	16x14	xpm-fallback
clock	24	apps	kmenuedit/icons/mini-clock.xpm	16x14	xpm-fallback
clock	32	apps	kmenuedit/icons/mini-clock.xpm	16x14	xpm-fallback
clock	48	apps	kmenuedit/icons/mini-clock.xpm	16x14	xpm-fallback
close	16	actions	kfm/pics/close.xpm	16x16	pillow
close	22	actions	kfm/pics/close.xpm	16x16	pillow
close	24	actions	kfm/pics/close.xpm	16x16	pillow
close	32	actions	kfm/pics/close.xpm	16x16	pillow
close	48	actions	kfm/pics/close.xpm	16x16	pillow
colors	16	apps	kmenuedit/icons/mini-colors.xpm	16x14	xpm-fallback
colors	22	apps	kmenuedit/icons/mini-colors.xpm	16x14	xpm-fallback
colors	24	apps	kmenuedit/icons/mini-colors.xpm	16x14	xpm-fallback
colors	32	apps	kmenuedit/icons/mini-colors.xpm	16x14	xpm-fallback
colors	48	apps	kmenuedit/icons/mini-colors.xpm	16x14	xpm-fallback
connect	16	apps	kmenuedit/icons/mini-connect.xpm	16x14	xpm-fallback
connect	22	apps	kmenuedit/icons/mini-connect.xpm	16x14	xpm-fallback
connect	24	apps	kmenuedit/icons/mini-connect.xpm	16x14	xpm-fallback
connect	32	apps	kmenuedit/icons/mini-connect.xpm	16x14	xpm-fallback
connect	48	apps	kmenuedit/icons/mini-connect.xpm	16x14	xpm-fallback
connected	16	apps	kmenuedit/icons/mini-connected.xpm	16x14	pillow
connected	22	apps	kmenuedit/icons/mini-connected.xpm	16x14	pillow
connected	24	apps	kmenuedit/icons/mini-connected.xpm	16x14	pillow
connected	32	apps	kmenuedit/icons/mini-connected.xpm	16x14	pillow
connected	48	apps	kmenuedit/icons/mini-connected.xpm	16x14	pillow
contents	16	actions	pics/toolbar/contents.xpm	22x22	pillow
contents	22	actions	pics/toolbar/contents.xpm	22x22	pillow
contents	24	actions	pics/toolbar/contents.xpm	22x22	pillow
contents	32	actions	pics/toolbar/contents.xpm	22x22	pillow
contents	48	actions	pics/toolbar/contents.xpm	22x22	pillow
core	16	apps	pics/mini/core.xpm	16x16	pillow
core	22	apps	pics/mini/core.xpm	16x16	pillow
core	24	apps	pics/core.xpm	32x32	pillow
core	32	apps	pics/core.xpm	32x32	pillow
core	48	apps	pics/core.xpm	32x32	pillow
cross	16	apps	kmenuedit/icons/mini-cross.xpm	16x14	xpm-fallback
cross	22	apps	kmenuedit/icons/mini-cross.xpm	16x14	xpm-fallback
cross	24	apps	kmenuedit/icons/mini-cross.xpm	16x14	xpm-fallback
cross	32	apps	kmenuedit/icons/mini-cross.xpm	16x14	xpm-fallback
cross	48	apps	kmenuedit/icons/mini-cross.xpm	16x14	xpm-fallback
default	16	apps	kpanel/pics/mini-default.xpm	14x14	xpm-fallback
default	22	apps	kpanel/pics/mini-default.xpm	14x14	xpm-fallback
