# HOST        ALIASES                          STATUS   PLATFORM DISTRO        INIT    HOSTPKG USERS      LEGACY_VERB        NOTE
x230          x230,ThinkPad-X230               active   linux    debian        -       x230    metsatron  stow:x230          "Debian, systemd; fleet fileserver"
t480s         t480s,ThinkPad-T480s             active   linux    debian        devuan  t480s   metsatron  stow:t480s         "Devuan, sysv-rc"
t480          t480,ThinkPad-T480               active   linux    debian        -       t480    metsatron  stow:t480          "OpenRC; scope file says platform-scope=openmandriva, reconcile separately"
t1700         t1700,ThinkPad-T1700,kikin-kushi active   linux    debian        devuan  t1700   metsatron  stow:t1700         "Kikin-Kushi, headless Devuan"
s24           s24,localhost                    active   termux   -             -       s24     metsatron  stow:s24           "Galaxy S24 Ultra, Termux"
honey         beelink                          planned  linux    debian        -       honey   gille      -                  "NOT ACTIVE: Beelink SER10 MAX, sysvinit PID 1 + OpenRC services; honey/ overlay not created yet"
