date	commit	sha256	path
1997-11-23	6e11047099df4befa4068c89a93e205a05234879	400415735ba93eb5fb821b9adcf6b0a302b8c390ed642b867beecbf9229d993f	applnk/Settings/Information/information.xpm
1997-11-23	6e11047099df4befa4068c89a93e205a05234879	512d32f52b2be62a97e195450934947e7b8c4e2c5786c76fd86f3449c2481042	applnk/Settings/Network/network.xpm
1997-11-29	22098bdba582a9dc928296b43291b69b3873e2d3	8e77f7df0e186c8dbd69056a19a932870ca8a2b33dd40e9d3a1a8cd35e24816e	applnk/Settings/Windows/kcmkwm.xpm
2020-11-12	c4b27a3ef9a8f729730671016c8c6498a495c422	a5537b71764ce1215738187a60b145c1b4d513a86eb62912c9ea891d93665fd2	compat/pics/large/qtcreator.xpm
2020-11-12	c4b27a3ef9a8f729730671016c8c6498a495c422	f401966d10d6582b927f0acdf4a1cb551ebe3c8d9b24cfda73ede6cb3a33b913	compat/pics/mini/qtcreator.xpm
2020-11-12	c4b27a3ef9a8f729730671016c8c6498a495c422	0bd90bf501ac5e7d736ae738d16054df7cfaeb9f0fcef174dccdd60985bbb037	compat/pics/qtcreator.xpm
1998-01-17	40e3c8e1f6b075226baf91bbed974b84e18d822e	87d3a371592153202e69cebbbcafdcf38501817e9d503b72fc45798aa0cd7312	doc/kcontrol/bell/logotp3.gif
1998-01-17	40e3c8e1f6b075226baf91bbed974b84e18d822e	87d3a371592153202e69cebbbcafdcf38501817e9d503b72fc45798aa0cd7312	doc/kcontrol/info/logotp3.gif
1998-01-17	40e3c8e1f6b075226baf91bbed974b84e18d822e	87d3a371592153202e69cebbbcafdcf38501817e9d503b72fc45798aa0cd7312	doc/kcontrol/input/logotp3.gif
1998-12-21	e9c126e136c3430fafec2278688a8993503c24d5	bc5c225b0de88b5c38a42e8be50cf0af55cc03b967a76dc742f5a571eb983c27	doc/kcontrol/kcmbell/logotp3.gif
1998-12-21	5ea60aa4ac1917b88daf5771624b8f0a751a0b3f	bc5c225b0de88b5c38a42e8be50cf0af55cc03b967a76dc742f5a571eb983c27	doc/kcontrol/kcmdisplay/logotp3.gif
1998-12-21	f39a5cc82e6127eb2efcf35c7a9c7653f2768832	bc5c225b0de88b5c38a42e8be50cf0af55cc03b967a76dc742f5a571eb983c27	doc/kcontrol/kcminfo/logotp3.gif
1998-12-21	1fa33a21582bd96aebf0527dc34f0a16d2574f9c	bc5c225b0de88b5c38a42e8be50cf0af55cc03b967a76dc742f5a571eb983c27	doc/kcontrol/kcminput/logotp3.gif
1998-12-21	6f0623afd58741e9acadb42cac4c04219d4de7d9	87d3a371592153202e69cebbbcafdcf38501817e9d503b72fc45798aa0cd7312	doc/kcontrol/kcmkeys/logotp3.gif
1998-12-21	4b54985b8ba2a852817d30f60910af309d94e8a0	87d3a371592153202e69cebbbcafdcf38501817e9d503b72fc45798aa0cd7312	doc/kcontrol/kcmkfm/logotp3.gif
1998-12-21	e6052d202c300c1f1c86856dab400ddfa2270caf	bc5c225b0de88b5c38a42e8be50cf0af55cc03b967a76dc742f5a571eb983c27	doc/kcontrol/kcmkpanel/logotp3.gif
1998-12-21	b0f18fc66edd6bebdbb684be97bb386d917f178f	bc5c225b0de88b5c38a42e8be50cf0af55cc03b967a76dc742f5a571eb983c27	doc/kcontrol/kcmkwm/logotp3.gif
1998-12-21	893f118a4c786619058fe9793da026ea261e07b5	bc5c225b0de88b5c38a42e8be50cf0af55cc03b967a76dc742f5a571eb983c27	doc/kcontrol/kcmlocale/logotp3.gif
1998-12-21	2322a8486598f2afad62867abc675d62bec33094	bc5c225b0de88b5c38a42e8be50cf0af55cc03b967a76dc742f5a571eb983c27	doc/kcontrol/kcmsamba/logotp3.gif
1998-12-21	0a510aae277585b6be6df2b1cedef4e2c09c1547	bc5c225b0de88b5c38a42e8be50cf0af55cc03b967a76dc742f5a571eb983c27	doc/kcontrol/kcmsyssound/de/logotp3.gif
